username,How would you like to be addressed?,Where did you hear about the TEC? What brings you here?,datetime
EffectChen#1001,@23766900qqcom1,I want to learn more and participate.,10/10/2021 - 11:27 PM
lux#0301,Lux,aloyiciois!,11/10/2021 - 12:57 AM
jon.s#3107,jon,Forefront Podcast,11/10/2021 - 01:41 PM
kevinc#6394,kevinc,I want to learn more,12/10/2021 - 01:02 AM
rrrmmmmm#7099,nickname,learn and participate,12/10/2021 - 10:21 AM
Hash17#7062,hussein,"i want to learn from the community all about DAOs. I am already taking a course hosted by DAOHaus, and looking to transform my community to a DAO",13/10/2021 - 09:38 AM
Alexandre_Ape-Unit#5309,Alexandre,I've been following tec for a while since we are also active in the blockchain space as a team at Ape Unit. Right now I decided to join the server because I am interested in the gravity working group!,13/10/2021 - 12:34 PM
dab621#0852,Danie (heyitsDB on both),mcon! Want to learn more about tokeneconomics and how to create long term sustainable structures,13/10/2021 - 05:00 PM
joxgallardo#8416,jox,Token Engineering Event,13/10/2021 - 05:52 PM
jshuadvd#1578,jshuadvd,website,13/10/2021 - 08:39 PM
huh.eth (Ben)#5761,huh.eth,Zeugh.eth,13/10/2021 - 11:11 PM
petec#6681,Pete,I was invited to introduce my project Centree to the group,14/10/2021 - 05:35 PM
Stretch#8949,Stuart Stretch @stuartstretch,"I am incredibly interested in the future of token finance and asset management, as well as how token engineering will help shape a sustainable and harmonic future. I am a serial entrepreneur that focuses on practical steps to move teams and companies forward. I primarily work in organizational and communications design, but I have wide range of experience in all aspects of the start-up lifecycle.",14/10/2021 - 09:04 PM
will#5710,Will Papper,Exploring tokenomics models,15/10/2021 - 05:02 AM
SydneyJason#4513,Syd,Active crypto investor since 2013. Crypto maximalist. Very interested in economics in general and token economics of various projects. I'm particularly interested in incentive systems and DAOs right now as I believe this will be the future of investing in crypto projects (both capital and time),15/10/2021 - 08:10 AM
ExtraHummus#0105,Hummus,I'm a founder who is exploring different ideas and curious to learn more about how to use tokenomics and build and scale communities that can enact positive change,15/10/2021 - 05:39 PM
Jerome | freeos.io | freedao.io#6508,Jerome,I'm building a democratic economic system and met with Griff recently and was suggested to join.,15/10/2021 - 10:31 PM
jeromehartigan#6895,Jerome,From Griff Green,16/10/2021 - 02:48 AM
woofcap#8640,ore_eth,learn more,16/10/2021 - 09:35 PM
bfa#7705,bfa#7705,From GitcoinDAO. I want to learn more and participate.,17/10/2021 - 08:52 PM
