To,From,Reason for Dishing,Date,Room
@sem  🐝,iviangita3204,!praise <@!676517295643820032> <@!460149781562523650> for the amazing work that they did to kick off the Hatch dress rehearsal,Jun-04-2021,🙏praise
@paulo.eth,iviangita3204,!praise <@!676517295643820032> <@!460149781562523650> for the amazing work that they did to kick off the Hatch dress rehearsal,Jun-04-2021,🙏praise
@Zeptimus,iviangita3204,"!praise <@!183879548394274816> for getting the timer all sorted, for all of his help in the Comms audit, for being amazing everywhere, for his work on the access rights, and for the video he made on Lauren’s proposal",Jun-04-2021,🙏praise
@divine_comedian,iviangita3204,!praise <@!288019500132073472> <@!523401372188540939> <@!492394339532800020> <@!714915268329078894> for the amazing hack session on the design,Jun-04-2021,🙏praise
@markop,iviangita3204,!praise <@!288019500132073472> <@!523401372188540939> <@!492394339532800020> <@!714915268329078894> for the amazing hack session on the design,Jun-04-2021,🙏praise
@karmaticacid,iviangita3204,!praise <@!288019500132073472> <@!523401372188540939> <@!492394339532800020> <@!714915268329078894> for the amazing hack session on the design,Jun-04-2021,🙏praise
@Nuggan,iviangita3204,!praise <@!288019500132073472> <@!523401372188540939> <@!492394339532800020> <@!714915268329078894> for the amazing hack session on the design,Jun-04-2021,🙏praise
@divine_comedian,iviangita3204,!praise <@!288019500132073472> <@!523401372188540939> for taking on the Commons Dashboard design that’s really critical,Jun-04-2021,🙏praise
@markop,iviangita3204,!praise <@!288019500132073472> <@!523401372188540939> for taking on the Commons Dashboard design that’s really critical,Jun-04-2021,🙏praise
@ygg_anderson,iviangita3204,!praise <@!659828514924658688> <@!676517295643820032> for taking on the Python work to map the smart contracts and the Python codes for the back-end of the Simulator and for presenting the bonding curves at the cadCAD Community Call,Jun-04-2021,🙏praise
@sem  🐝,iviangita3204,!praise <@!659828514924658688> <@!676517295643820032> for taking on the Python work to map the smart contracts and the Python codes for the back-end of the Simulator and for presenting the bonding curves at the cadCAD Community Call,Jun-04-2021,🙏praise
@karmaticacid,iviangita3204,!praise <@!492394339532800020> <@!367484103089455108> for meeting Griff in person,Jun-04-2021,🙏praise
@metaverde,iviangita3204,!praise <@!492394339532800020> <@!367484103089455108> for meeting Griff in person,Jun-04-2021,🙏praise
@Juankbell,iviangita3204,"!praise <@!749990807238607020> for the amazing work that he does for Gravity constantly, for the help he provided for Zepti, for always being patient with Metaverde when she wants to vaporize everybody, and for his work on the Gravity WG and the Gravity survey",Jun-04-2021,🙏praise
@mateodaza,iviangita3204,!praise <@!480023322080444427> <@!692168538181599232> <@!434632218246381569> for taking on Sourcecred,Jun-04-2021,🙏praise
@santigs,iviangita3204,!praise <@!480023322080444427> <@!692168538181599232> <@!434632218246381569> for taking on Sourcecred,Jun-04-2021,🙏praise
@liviade,iviangita3204,!praise <@!480023322080444427> <@!692168538181599232> <@!434632218246381569> for taking on Sourcecred,Jun-04-2021,🙏praise
@chuygarcia92,iviangita3204,"!praise <@!727934296387616848> for the Comms audit and being super prepared for it, for leading Comms, for reaching out to Penguin to present Metagame to TEC, for facilitating cross-pollination, and for introducing lEscanore to TEC",Jun-04-2021,🙏praise
@ygg_anderson,iviangita3204,"!praise <@!659828514924658688> for becoming a deserving steward, for leading the Labs all the time and all his work in there and for stepping up",Jun-04-2021,🙏praise
@ygg_anderson,iviangita3204,!praise <@!659828514924658688> <@!727934296387616848> for becoming stewards and stewarding the Comms and Lab WGs,Jun-04-2021,🙏praise
@chuygarcia92,iviangita3204,!praise <@!659828514924658688> <@!727934296387616848> for becoming stewards and stewarding the Comms and Lab WGs,Jun-04-2021,🙏praise
@griff,iviangita3204,!praise <@!751417874886688798> <@!480023322080444427> <@!395673197615513600> for always being there for Suga when she needs them,Jun-04-2021,🙏praise
@liviade,iviangita3204,!praise <@!751417874886688798> <@!480023322080444427> <@!395673197615513600> for always being there for Suga when she needs them,Jun-04-2021,🙏praise
@Tam2140,iviangita3204,!praise <@!751417874886688798> <@!480023322080444427> <@!395673197615513600> for always being there for Suga when she needs them,Jun-04-2021,🙏praise
@Zeptimus,iviangita3204,!praise <@!492394339532800020> <@!749990807238607020> <@!183879548394274816> <@!573648007384530954> <@!288019500132073472> <@!523401372188540939> <@!692168538181599232> <@!434632218246381569> <@!367484103089455108> for the wonderful vibes,Jun-04-2021,🙏praise
